serial_no,race,education,income,gender,age,relationship
0089568,01,01,012000,1,38,01
0089568,01,09,000000,2,34,02
0089568,01,01,,1,03,03
0089694,37,13,000000,1,75,01
0089694,37,13,000000,2,68,02
0089758,37,11,001400,2,56,01
0089758,37,04,010700,1,33,03
0089758,37,03,,1,12,08
0090066,37,09,009100,2,22,01
0090066,37,00,,2,02,03
0090066,37,09,000000,1,23,19
0090243,37,09,025000,1,33,01
0090342,47,14,100000,1,47,01
0090342,47,14,030000,2,42,02
0090342,47,02,,2,10,03
0090342,47,02,,2,06,03
0090420,47,14,000000,1,77,01
0090420,47,16,000000,2,84,02
0090923,37,08,042200,2,49,01
0090923,37,11,048000,1,24,03
0090923,37,02,,1,06,08
0090923,38,08,000000,2,21,10
0091006,47,13,090000,1,61,01
0091006,47,13,037000,2,58,02
0091585,37,09,000000,2,60,01
0091705,37,05,006300,2,34,01
0091705,37,05,000000,2,15,03
0091705,37,02,,1,08,03
0091747,37,10,000000,1,58,01
0091917,47,11,026100,1,34,01
0091917,47,11,036600,2,37,02
0091969,47,15,010000,1,51,01
0092153,37,09,028000,2,40,01
0092634,37,12,032000,2,43,01
0092634,37,11,000000,1,49,18
0092932,47,16,071000,2,36,01
0093006,37,09,000000,2,32,01
0093006,37,03,,2,12,03
0093006,37,02,,1,08,03
0093006,37,00,,1,01,03
0093311,47,12,000000,2,84,22
0093554,37,11,001600,2,21,23
0094117,37,09,030100,2,23,01
0094285,47,13,042000,1,34,01
0094285,47,13,060000,2,35,02
0094290,47,11,000810,2,18,23
0094479,47,14,057000,2,57,01
0094479,47,16,020500,1,71,02
0094819,01,14,000000,2,84,22
0094909,37,10,000000,1,54,01
0095150,04,09,010000,1,39,01
0095150,04,09,035000,1,39,18
0095750,47,05,024000,1,45,01
0095750,47,05,015400,1,34,06
0095754,47,15,094000,1,41,01
0095754,47,14,087000,2,42,02
0095754,47,02,,2,07,03
0095754,47,02,,1,04,03
0095754,47,11,000000,2,34,21
0096078,71,11,030000,2,23,01
0096344,37,11,001700,2,19,23
0097055,47,13,170000,2,52,01
0097687,37,09,000000,2,64,01
0097896,47,15,004800,1,26,01
0097896,47,14,052000,1,29,18
0097896,47,11,038000,1,27,18
0097896,47,13,004800,1,26,18
0097896,47,11,004000,1,23,18
0097913,37,11,000000,2,41,01
0097913,37,09,000000,2,19,03
0097913,37,06,000000,2,15,03
0098053,37,14,060000,2,34,01
0098053,47,16,011000,1,52,02
0098053,37,00,,1,02,03
0098421,37,10,015000,2,59,01
0098421,37,11,015000,1,59,02
0098421,37,09,015000,2,40,03
0098421,37,09,000000,2,22,03
0098421,37,09,025000,1,50,10
0098421,37,09,000000,1,50,12
0098421,37,09,029600,2,28,21
0098460,37,09,014000,1,69,01
0098460,37,04,080000,2,51,02
0098460,37,09,000000,1,18,03
0098460,46,05,023000,1,40,17
0099215,37,13,055000,2,36,01
0099215,37,09,055000,1,36,02
0099215,37,02,,1,05,03
0099215,37,02,,1,03,03
0099730,47,15,343000,1,75,01
0099730,47,13,000000,2,63,02
0099983,20,11,010000,1,20,23
0100145,47,11,092000,2,87,01
0100169,47,15,100000,1,48,01
0100169,47,15,343000,2,49,02
0100169,47,05,000000,1,15,03
0100169,47,04,,1,13,03
0100743,37,07,000000,2,43,01
0100743,37,01,000000,1,21,03
0100743,37,03,,2,11,03
0100743,37,03,,2,10,03
0100743,37,02,,1,09,03
0100743,37,02,,2,05,03
0100925,37,11,010000,1,21,23
0101678,37,09,027600,2,47,01
0101744,37,09,000000,1,32,01
0101744,37,11,000000,2,35,02
0102028,37,08,012200,2,47,01
0102854,47,14,090000,1,43,01
0102854,37,14,018000,2,50,02
0102912,37,09,343000,2,43,01
0102912,37,11,000000,2,22,03
0103909,47,09,008000,1,21,23
0104675,01,09,012000,1,57,01
0104675,01,02,014000,1,50,18
0104675,01,11,000000,1,52,21
0105023,37,10,000000,2,55,01
0105462,47,16,000000,1,63,01
0105462,47,14,040100,2,46,02
0105462,47,05,000000,2,15,03
0105492,47,15,096000,2,42,01
0105555,38,09,014000,2,35,01
0106607,16,09,002000,2,22,23
0106868,37,08,026000,1,27,01
0107209,37,09,000000,2,64,01
0107209,37,06,000000,1,19,08
0107566,37,09,000000,2,73,01
0108813,47,10,022500,1,44,01
0109249,37,16,343000,2,55,01
0109249,37,15,004000,1,23,03
0109365,47,13,094000,2,32,01
0110789,47,11,000000,2,28,23
0111517,37,06,012000,2,31,01
0111517,37,04,000000,2,15,03
0111517,37,02,,2,08,03
0111517,37,01,,1,04,03
0112013,37,09,008000,2,41,01
0112013,37,03,,2,12,03
0112013,37,02,,1,08,03
0112013,37,00,,2,02,03
0112013,37,09,000000,2,58,07
0112807,47,15,052000,1,36,01
0113126,47,11,047300,2,51,01
0113494,37,11,003800,2,19,23
0113806,37,11,069000,2,47,01
0113806,37,05,000000,1,16,03
0114041,47,13,070000,1,52,01
0114041,47,14,018700,2,25,03
0114285,37,11,028000,1,49,01
0114285,37,09,020000,2,42,19
0115107,37,11,045000,2,39,01
0115107,37,07,003000,2,17,03
0115107,37,04,000000,2,15,03
0115665,47,15,060000,1,53,01
0115665,47,14,000000,2,49,02
0115941,37,09,006000,1,19,23
0115997,37,11,061000,2,58,01
0115997,32,05,000850,2,16,08
0116267,37,09,020000,2,39,01
0116267,37,07,000880,2,20,03
0116267,37,07,000000,1,37,06
0116267,37,09,000000,2,35,06
0116267,37,01,,2,03,08
0116267,37,00,,1,01,08
0116823,47,11,006000,2,19,23
0116860,32,03,034800,1,63,01
0116860,01,11,016400,1,28,04
0116860,33,05,007000,1,55,19
0117411,37,07,000000,1,44,23
0117430,37,10,013900,2,24,01
0117766,37,08,013000,2,22,01
0117766,37,01,,2,03,03
0117766,37,00,,1,00,03
0118359,37,13,051000,2,42,01
0119098,37,13,000000,1,44,22
0119481,37,14,019800,1,52,01
0120138,47,13,068000,1,47,01
0120138,47,13,039700,2,48,02
0120158,37,09,003300,2,28,01
0120158,37,02,,2,05,03
0120243,37,13,037000,2,40,01
0120243,37,04,,1,13,03
0120243,37,02,,2,08,03
0120918,47,14,085000,1,55,01
0120918,47,16,045000,2,52,02
0120984,47,13,035000,2,30,01
0122211,37,11,000000,2,25,01
0122211,47,10,052000,1,30,02
0122211,68,00,,1,00,03
0122589,37,05,000000,1,72,01
0122589,37,04,000000,1,65,06
0124258,47,13,095000,1,37,01
0124258,47,14,065000,1,37,18
0124605,37,09,034300,1,60,01
0125343,37,04,000000,2,93,01
0126142,47,13,032000,2,25,01
0126142,47,13,030000,2,24,18
0126336,37,14,017000,1,41,01
0126851,37,09,000000,2,64,01
0127148,47,13,000000,2,53,01
0127773,47,14,053000,1,31,01
0127773,47,09,000000,2,26,02
0127773,47,01,,1,05,03
0128749,37,09,015100,2,52,01
0128960,47,06,000000,2,70,01
0129223,01,13,067000,2,51,01
0129234,37,11,016000,2,27,01
0129234,37,09,026000,1,46,02
0129234,37,05,000000,1,16,03
0129234,37,03,,1,14,03
0129234,37,02,,1,04,03
0129234,37,04,000000,1,42,06
0129234,37,08,003100,1,30,06
0129234,37,09,000000,1,16,13
0129234,37,02,,1,07,13
0129726,37,11,019000,2,63,01
0131348,47,15,000000,2,46,01
0132023,37,06,000000,2,65,01
0132083,37,06,000000,2,80,01
0132083,37,06,000000,2,82,06
0132846,37,11,050000,1,39,01
0132846,37,07,004900,2,39,02
0132846,37,03,,2,12,03
0132846,37,02,,1,07,03
0132846,37,11,001100,2,84,14
0133549,47,11,045000,1,39,01
0133549,47,09,054000,2,36,19
0133716,37,01,000000,1,71,01
0133716,37,09,000000,2,65,02
0133716,37,09,000000,1,22,03
0133810,37,15,010000,2,34,01
0134273,47,15,090000,2,56,01
0134526,47,14,080000,2,37,01
0134526,47,15,045000,1,46,02
0135254,37,04,000000,2,93,01
0135993,37,09,000000,1,24,01
0136717,37,08,000000,1,38,01
0136717,37,07,005000,2,25,02
0136717,37,02,,2,07,03
0136717,37,01,,2,06,03
0136717,37,01,,1,05,03
0136814,37,14,020100,2,28,01
0136831,37,09,020800,1,34,01
0136849,37,13,053000,2,48,01
0136849,37,09,002100,1,19,03
0137711,47,14,006000,2,37,01
0137711,47,15,142000,1,35,02
0137711,47,01,,1,03,03
0138735,47,14,065000,1,28,01
0138875,47,11,000000,2,75,01
0139134,37,04,000000,2,93,01
0139194,37,09,030000,2,44,01
0139219,37,09,000000,2,66,01
0139366,47,16,012200,2,57,23
0139513,37,13,050000,2,45,01
0139513,37,07,000000,1,20,03
0139513,37,02,,1,10,03
0139513,37,01,000000,1,44,06
0139513,37,01,,2,06,13
0139787,37,08,035000,1,35,01
0139787,37,13,040000,2,36,19
0139859,47,13,022000,1,26,01
0139974,37,13,000000,2,21,01
0139974,37,01,,2,03,03
0139974,37,00,,1,00,03
0139974,37,13,000000,1,22,18
0140070,37,06,020800,2,27,01
0140070,37,00,,1,00,03
0141421,47,13,003000,2,54,01
0141471,37,09,000000,2,67,01
0141599,47,13,000000,1,81,01
0141810,37,09,000000,2,19,23
0142007,37,13,001700,2,27,01
0142237,47,13,000000,1,71,01
0142583,37,09,004400,2,65,01
0142586,47,14,080000,1,36,01
0142586,47,14,000000,2,36,02
0142586,47,04,,2,14,03
0142586,47,00,,2,00,03
0143172,37,13,050000,1,53,01
0143172,37,10,000000,2,51,02
0143172,37,06,000000,2,17,03
0143172,37,02,,1,09,03
0143359,37,05,000000,2,22,01
0143359,37,02,,1,04,03
0143359,37,05,000000,2,15,06
0143452,37,09,018700,1,51,23
0143603,47,13,000000,1,69,01
0143603,47,13,000000,2,69,02
0143876,37,01,000000,1,38,23
0144058,37,14,100000,1,70,01
0144058,37,14,000000,2,70,02
0145058,37,04,000000,1,93,01
0145058,37,10,000000,2,65,18
0145064,37,09,009700,2,52,01
0145064,37,01,,2,04,08
0146775,37,04,013400,1,83,01
0146775,37,04,000000,2,85,02
0146966,37,08,000000,1,48,23
0147087,47,14,000000,2,39,01
0147572,37,08,031000,1,42,01
0147572,37,08,033000,2,37,02
0147761,37,09,045000,2,42,01
0147918,47,11,016500,2,20,23
0148881,37,07,000000,1,50,23
0149274,37,07,000000,2,84,01
0149274,37,11,000000,1,50,03
0149522,37,12,000000,1,75,01
0149522,37,09,000000,2,73,02
0149753,37,04,000000,1,46,01
